subpath_name;asset_id;city
rSHfjwdZXuG0x2JjLASu-128_rSHfjwdZXuG0x2JjLASu-150;10ZCLUPPL010;mam-beijing
rSHfjwdZXuG0x2JjLASu-127_rSHfjwdZXuG0x2JjLASu-152;10ZCLUPPL017;mam-beijing
rSHfjwdZXuG0x2JjLASu-158_rSHfjwdZXuG0x2JjLASu-162;10ZCLUNPCPA001;mam-beijing
rSHfjwdZXuG0x2JjLASu-157_rSHfjwdZXuG0x2JjLASu-161;10ZCLUNPCPA007;mam-beijing
rSHfjwdZXuG0x2JjLASu-172_rSHfjwdZXuG0x2JjLASu-220;10ZCLUSH135LED004;mam-beijing
rSHfjwdZXuG0x2JjLASu-171_rSHfjwdZXuG0x2JjLASu-220;10ZCLUSH135LED003;mam-beijing
rSHfjwdZXuG0x2JjLASu-219_rSHfjwdZXuG0x2JjLASu-178;10ZCLUSHPILLA001;mam-beijing
rSHfjwdZXuG0x2JjLASu-175_rSHfjwdZXuG0x2JjLASu-186;10ZCLUIPFL001;mam-beijing
OX_BMeGClAaoVKAdzhXo-53_OX_BMeGClAaoVKAdzhXo-62;10XTCDCPA001;mam-beijing
OX_BMeGClAaoVKAdzhXo-52_OX_BMeGClAaoVKAdzhXo-61;10XTCBCPA001;mam-beijing
OX_BMeGClAaoVKAdzhXo-60_OX_BMeGClAaoVKAdzhXo-69;10XTCA135LED001;mam-beijing
OX_BMeGClAaoVKAdzhXo-61_OX_BMeGClAaoVKAdzhXo-68;10XTCB135LED001;mam-beijing
OX_BMeGClAaoVKAdzhXo-71_OX_BMeGClAaoVKAdzhXo-79;10XTCPPL006;mam-beijing
OX_BMeGClAaoVKAdzhXo-70_OX_BMeGClAaoVKAdzhXo-78;10XTCPPL001;mam-beijing
OX_BMeGClAaoVKAdzhXo-85_OX_BMeGClAaoVKAdzhXo-93;10XTCPPL001;mam-beijing
OX_BMeGClAaoVKAdzhXo-86_OX_BMeGClAaoVKAdzhXo-93;10XTCPPL014;mam-beijing
OX_BMeGClAaoVKAdzhXo-87_OX_BMeGClAaoVKAdzhXo-94;10XTCPPL006;mam-beijing
OX_BMeGClAaoVKAdzhXo-88_OX_BMeGClAaoVKAdzhXo-94;10XTCPPL010;mam-beijing
OX_BMeGClAaoVKAdzhXo-103_OX_BMeGClAaoVKAdzhXo-108;10XTCA135LED001;mam-beijing
OX_BMeGClAaoVKAdzhXo-103_OX_BMeGClAaoVKAdzhXo-107;10XTCDCPA001;mam-beijing
OX_BMeGClAaoVKAdzhXo-104_OX_BMeGClAaoVKAdzhXo-112;10XTCBCPA001;mam-beijing
LCrqxRywKzPzfhbs5ttf-124_LCrqxRywKzPzfhbs5ttf-126;10MDYPPL001;mam-beijing
LCrqxRywKzPzfhbs5ttf-125_LCrqxRywKzPzfhbs5ttf-127;10MDYPPL008;mam-beijing
LCrqxRywKzPzfhbs5ttf-121_LCrqxRywKzPzfhbs5ttf-123;10MDYESH135LED002;mam-beijing
LCrqxRywKzPzfhbs5ttf-117_LCrqxRywKzPzfhbs5ttf-121;10MDYBCPA001;mam-beijing
LCrqxRywKzPzfhbs5ttf-118_LCrqxRywKzPzfhbs5ttf-120;10MDYWSHLED001;mam-beijing
LCrqxRywKzPzfhbs5ttf-116_LCrqxRywKzPzfhbs5ttf-120;10MDYACPA001;mam-beijing
LCrqxRywKzPzfhbs5ttf-120_LCrqxRywKzPzfhbs5ttf-122;10MDYWSH135LED002;mam-beijing
LCrqxRywKzPzfhbs5ttf-59_LCrqxRywKzPzfhbs5ttf-55;10MDYWSHLED001;mam-beijing
LCrqxRywKzPzfhbs5ttf-59_LCrqxRywKzPzfhbs5ttf-56;10MDYACPA001;mam-beijing
LCrqxRywKzPzfhbs5ttf-60_LCrqxRywKzPzfhbs5ttf-57;10MDYBCPA001;mam-beijing
LCrqxRywKzPzfhbs5ttf-62_LCrqxRywKzPzfhbs5ttf-60;10MDYESH135LED002;mam-beijing
LCrqxRywKzPzfhbs5ttf-61_LCrqxRywKzPzfhbs5ttf-59;10MDYWSH135LED002;mam-beijing
LCrqxRywKzPzfhbs5ttf-73_LCrqxRywKzPzfhbs5ttf-63;10MDYPPL001;mam-beijing
LCrqxRywKzPzfhbs5ttf-74_LCrqxRywKzPzfhbs5ttf-63;10MDYPPL022;mam-beijing
LCrqxRywKzPzfhbs5ttf-76_LCrqxRywKzPzfhbs5ttf-64;10MDYPPL015;mam-beijing
LCrqxRywKzPzfhbs5ttf-75_LCrqxRywKzPzfhbs5ttf-64;10MDYPPL008;mam-beijing
LCrqxRywKzPzfhbs5ttf-60_LCrqxRywKzPzfhbs5ttf-87;10MDYESH135LED002;mam-beijing
LCrqxRywKzPzfhbs5ttf-59_LCrqxRywKzPzfhbs5ttf-87;10MDYWSH135LED002;mam-beijing
gKBM_fOBf45w34D9tEsw-64_gKBM_fOBf45w34D9tEsw-66;10JDMESHCPA001;mam-beijing
gKBM_fOBf45w34D9tEsw-61_gKBM_fOBf45w34D9tEsw-65;10JDMWSHCPA001;mam-beijing
gKBM_fOBf45w34D9tEsw-75_gKBM_fOBf45w34D9tEsw-79;10JDMPPL001;mam-beijing
gKBM_fOBf45w34D9tEsw-76_gKBM_fOBf45w34D9tEsw-80;10JDMPPL011;mam-beijing
gKBM_fOBf45w34D9tEsw-97_gKBM_fOBf45w34D9tEsw-93;10JDMWSHCPA001;mam-beijing
gKBM_fOBf45w34D9tEsw-98_gKBM_fOBf45w34D9tEsw-96;10JDMESHCPA001;mam-beijing
gKBM_fOBf45w34D9tEsw-113_gKBM_fOBf45w34D9tEsw-107;10JDMPPL001;mam-beijing
gKBM_fOBf45w34D9tEsw-115_gKBM_fOBf45w34D9tEsw-107;10JDMPPL029;mam-beijing
gKBM_fOBf45w34D9tEsw-114_gKBM_fOBf45w34D9tEsw-108;10JDMPPL011;mam-beijing
gKBM_fOBf45w34D9tEsw-116_gKBM_fOBf45w34D9tEsw-108;10JDMPPL020;mam-beijing
AF1IJ7UOwwaKsNJTCL1P-61_AF1IJ7UOwwaKsNJTCL1P-62;01GCPPL001;mam-beijing
AF1IJ7UOwwaKsNJTCL1P-52_AF1IJ7UOwwaKsNJTCL1P-66;01GCPPL039;mam-beijing
AF1IJ7UOwwaKsNJTCL1P-70_AF1IJ7UOwwaKsNJTCL1P-67;01GCPPL026;mam-beijing
AF1IJ7UOwwaKsNJTCL1P-73_AF1IJ7UOwwaKsNJTCL1P-63;01GCPPL013;mam-beijing
