station_id;year;month;interchange
613;2021;10;5057417.706
120;2021;10;2278582
724;2021;10;1051360
906;2021;10;3146989
505;2021;10;3918164
503;2021;10;1330735
111;2021;10;2569500
726;2021;10;3980568
119;2021;10;3134238
1037;2021;10;1123302
520;2021;10;1805318
1005;2021;10;2926462
811;2021;10;1635414
719;2021;10;1842561
1003;2021;10;6799176.038
112;2021;10;5572193.968
206;2021;10;2146667
1024;2021;10;4765818.878
209;2021;10;6021028.83
907;2021;10;794603
218;2021;10;2339058
207;2021;10;804977
1014;2021;10;0
805;2021;10;1093498
1001;2021;10;0
1034;2021;10;2778662
214;2021;11;11636195.03
1032;2021;11;6355284.702
610;2021;11;6323137.337
615;2021;11;3208462.293
501;2021;11;9781209
620;2021;11;4255347
619;2021;11;5102850
509;2021;11;2503951.632
117;2021;11;3466504
813;2021;11;3333741
203;2021;11;2204003.568
216;2021;11;2333865.598
608;2021;11;2230358
718;2021;11;2643025
515;2021;11;4768958
108;2021;11;2579297
116;2021;11;3190906
213;2021;11;1619795
107;2021;11;3013847
1012;2021;11;1937522
1031;2021;11;5871596.623
201;2021;11;1614371.1
613;2021;11;4905246.864
120;2021;11;2437152
724;2021;11;1055376
906;2021;11;3177562
505;2021;11;3846353
503;2021;11;1279610
111;2021;11;2651244
726;2021;11;3900231
119;2021;11;3356731
1037;2021;11;1163149
520;2021;11;1947412
1005;2021;11;3070178
811;2021;11;1706452
719;2021;11;1865790
1003;2021;11;6841221.865
112;2021;11;5600902.387
206;2021;11;2133232
1024;2021;11;4860364.222
209;2021;11;5883664.985
907;2021;11;831716
218;2021;11;2401336
207;2021;11;867286
1014;2021;11;0
805;2021;11;1183860
1001;2021;11;0
1034;2021;11;2803022
214;2021;12;11595480.83
1032;2021;12;6379218.96
610;2021;12;6336720.363
615;2021;12;3163840.151
501;2021;12;9834624
620;2021;12;4339224
619;2021;12;5221732
509;2021;12;2521858.232
117;2021;12;3546043
813;2021;12;3252378
203;2021;12;2265590.959
216;2021;12;2250683.83
608;2021;12;2252605
718;2021;12;2657700
515;2021;12;4778438
