asset_id;hour_from;hour_to;station_id
01GCPPL028;6:00;22:00;101
01GCPPL029;6:00;22:00;101
01GCPPL030;6:00;22:00;101
01GCPPL031;6:00;22:00;101
01GCPPL032;6:00;22:00;101
01GCPPL033;6:00;22:00;101
01GCPPL034;6:00;22:00;101
01GCPPL035;6:00;22:00;101
01GCPPL036;6:00;22:00;101
01GCPPL037;6:00;22:00;101
01GCPPL038;6:00;22:00;101
01GCPPL039;6:00;22:00;101
01GCPPL040;6:00;22:00;101
01GCPPL041;6:00;22:00;101
01GCPPL042;6:00;22:00;101
01GCPPL043;6:00;22:00;101
01GCPPL044;6:00;22:00;101
01GCPPL045;6:00;22:00;101
01GCPPL046;6:00;22:00;101
01GCPPL047;6:00;22:00;101
01GCPPL048;6:00;22:00;101
01GCPPL049;6:00;22:00;101
01GCPPL050;6:00;22:00;101
01BJYLYPPL001;6:00;22:00;102
01BJYLYPPL002;6:00;22:00;102
01BJYLYPPL003;6:00;22:00;102
01BJYLYPPL004;6:00;22:00;102
01BJYLYPPL005;6:00;22:00;102
01BJYLYPPL006;6:00;22:00;102
01BJYLYPPL007;6:00;22:00;102
01BJYLYPPL008;6:00;22:00;102
01BJYLYPPL009;6:00;22:00;102
01BJYLYPPL010;6:00;22:00;102
01BJYLYPPL011;6:00;22:00;102
01BJYLYPPL012;6:00;22:00;102
01BJYLYPPL013;6:00;22:00;102
01BJYLYPPL014;6:00;22:00;102
01BJYLYPPL015;6:00;22:00;102
01BJYLYPPL016;6:00;22:00;102
01BJYLYPPL017;6:00;22:00;102
01BJYLYPPL018;6:00;22:00;102
01BJYLYPPL019;6:00;22:00;102
01BJYLYPPL020;6:00;22:00;102
01BJYLYPPL021;6:00;22:00;102
01BJYLYPPL022;6:00;22:00;102
01BJYLYPPL023;6:00;22:00;102
01BJYLYPPL024;6:00;22:00;102
01BJYLYPPL025;6:00;22:00;102
01BJYLYPPL026;6:00;22:00;102
01BJYLYPPL027;6:00;22:00;102
01BJYLYPPL028;6:00;22:00;102
01BJYLYPPL029;6:00;22:00;102
01BJYLYPPL030;6:00;22:00;102
01BJYLYPPL031;6:00;22:00;102
01BJYLYPPL032;6:00;22:00;102
01BJYLYPPL033;6:00;22:00;102
01BJYLYPPL034;6:00;22:00;102
01BJYLYPPL035;6:00;22:00;102
01BJYLYPPL036;6:00;22:00;102
01BJYLYPPL037;6:00;22:00;102
01BJYLYPPL038;6:00;22:00;102
01BJYLYPPL039;6:00;22:00;102
