station_id;year;month;departure;arrival
217;2022;6;327053;327053
217;2021;7;337174.5;337174.5
217;2021;8;441348.5;441348.5
217;2021;9;404324.5;404324.5
217;2021;10;402424;402424
217;2021;11;426949;426949
217;2021;12;440056;440056
218;2022;1;802027;802027
218;2022;2;742934.5;742934.5
218;2022;3;802951;802951
218;2022;4;801777.5;801777.5
218;2022;5;750826;750826
218;2022;6;748898.5;748898.5
218;2021;7;830438;830438
218;2021;8;866036.5;866036.5
218;2021;9;758343;758343
218;2021;10;750923;750923
218;2021;11;789038;789038
218;2021;12;775809;775809
501;2022;1;1437632;1437632
501;2022;2;1041685;1041685
501;2022;3;1207977.5;1207977.5
501;2022;4;1148495.5;1148495.5
501;2022;5;1150767;1150767
501;2022;6;1135893;1135893
501;2021;7;1182884;1182884
501;2021;8;1541035;1541035
501;2021;9;1435936.5;1435936.5
501;2021;10;1422461.5;1422461.5
501;2021;11;1496940.5;1496940.5
501;2021;12;1521841;1521841
502;2022;1;684256.5;684256.5
502;2022;2;425833.5;425833.5
502;2022;3;483716;483716
502;2022;4;475703.5;475703.5
502;2022;5;469173;469173
502;2022;6;459678.5;459678.5
502;2021;7;484566;484566
502;2021;8;703956;703956
502;2021;9;630313.5;630313.5
502;2021;10;631196.5;631196.5
502;2021;11;644465.5;644465.5
502;2021;12;656435.5;656435.5
503;2022;1;716033.5;716033.5
503;2022;2;550957;550957
503;2022;3;629123;629123
503;2022;4;613825;613825
503;2022;5;599550;599550
503;2022;6;593593;593593
503;2021;7;630108.5;630108.5
503;2021;8;749683.5;749683.5
503;2021;9;698959.5;698959.5
503;2021;10;701592.5;701592.5
503;2021;11;735197;735197
503;2021;12;755659;755659
504;2022;1;439711.5;439711.5
504;2022;2;374223.5;374223.5
504;2022;3;428192;428192
504;2022;4;476436.5;476436.5
504;2022;5;426006;426006
504;2022;6;425869.5;425869.5
504;2021;7;592451.5;592451.5
504;2021;8;645279.5;645279.5
504;2021;9;465895.5;465895.5
504;2021;10;547417.5;547417.5
504;2021;11;441778;441778
504;2021;12;413726.5;413726.5
505;2022;1;555337;555337
505;2022;2;409998.5;409998.5
505;2022;3;459383;459383
505;2022;4;446841.5;446841.5
505;2022;5;433171;433171
505;2022;6;424884.5;424884.5
505;2021;7;449848;449848
505;2021;8;586996;586996
505;2021;9;560734.5;560734.5
505;2021;10;552442.5;552442.5
505;2021;11;561790.5;561790.5
505;2021;12;572973;572973
508;2022;1;738141;738141
508;2022;2;473840;473840
508;2022;3;539343.5;539343.5
508;2022;4;525313.5;525313.5
508;2022;5;510256.5;510256.5
508;2022;6;514531;514531
508;2021;7;561624.5;561624.5
508;2021;8;799410.5;799410.5
508;2021;9;696948;696948
508;2021;10;780410.5;780410.5
508;2021;11;747432;747432
508;2021;12;786290;786290
509;2022;1;585671;585671
509;2022;2;378408.5;378408.5
509;2022;3;429875;429875
509;2022;4;430716;430716
509;2022;5;422222;422222
509;2022;6;423606.5;423606.5
509;2021;7;439580.5;439580.5
509;2021;8;611479.5;611479.5
509;2021;9;556669;556669
509;2021;10;589554;589554
509;2021;11;591853.5;591853.5
509;2021;12;610180.5;610180.5
510;2022;1;298080.5;298080.5
510;2022;2;221090.5;221090.5
510;2022;3;254338.5;254338.5
510;2022;4;245013.5;245013.5
510;2022;5;233624.5;233624.5
510;2022;6;230107.5;230107.5
510;2021;7;240729;240729
510;2021;8;291542.5;291542.5
510;2021;9;279237.5;279237.5
510;2021;10;271639;271639
510;2021;11;289913.5;289913.5
510;2021;12;298435;298435
511;2022;1;466920;466920
511;2022;2;463841.5;463841.5
511;2022;3;483495.5;483495.5
511;2022;4;491584;491584
511;2022;5;468433.5;468433.5
511;2022;6;469845.5;469845.5
511;2021;7;497582.5;497582.5
511;2021;8;472732.5;472732.5
511;2021;9;419625;419625
511;2021;10;429506.5;429506.5
511;2021;11;437813.5;437813.5
511;2021;12;449311;449311
513;2022;1;507367;507367
513;2022;2;423494;423494
513;2022;3;480197.5;480197.5
513;2022;4;462691.5;462691.5
513;2022;5;452068.5;452068.5
513;2022;6;448650;448650
513;2021;7;471547.5;471547.5
513;2021;8;517194;517194
513;2021;9;497026;497026
513;2021;10;495988.5;495988.5
513;2021;11;535206;535206
513;2021;12;546083.5;546083.5
514;2022;1;616477.5;616477.5
514;2022;2;456119.5;456119.5
514;2022;3;521781.5;521781.5
514;2022;4;486250;486250
514;2022;5;470346;470346
514;2022;6;476699;476699
514;2021;7;485379;485379
514;2021;8;612659.5;612659.5
514;2021;9;585358.5;585358.5
514;2021;10;578700;578700
514;2021;11;616619;616619
514;2021;12;633990.5;633990.5
515;2022;1;636147.5;636147.5
515;2022;2;463596.5;463596.5
515;2022;3;562156.5;562156.5
515;2022;4;532393.5;532393.5
515;2022;5;523802.5;523802.5
515;2022;6;508883.5;508883.5
515;2021;7;504009.5;504009.5
515;2021;8;644597;644597
515;2021;9;640567;640567
515;2021;10;625688;625688
515;2021;11;647648;647648
515;2021;12;655814.5;655814.5
516;2022;1;821329.5;821329.5
516;2022;2;535137.5;535137.5
516;2022;3;635750.5;635750.5
516;2022;4;599967.5;599967.5
516;2022;5;595241;595241
516;2022;6;579251.5;579251.5
516;2021;7;577477.5;577477.5
516;2021;8;822572.5;822572.5
516;2021;9;760267.5;760267.5
516;2021;10;766412;766412
516;2021;11;838799;838799
516;2021;12;853672;853672
517;2022;1;580774;580774
517;2022;2;445053;445053
517;2022;3;511033.5;511033.5
517;2022;4;495189.5;495189.5
517;2022;5;489044;489044
517;2022;6;482625.5;482625.5
517;2021;7;511380.5;511380.5
517;2021;8;585367;585367
517;2021;9;545873;545873
517;2021;10;535753.5;535753.5
517;2021;11;560221;560221
517;2021;12;565722.5;565722.5
518;2022;1;810724.5;810724.5
518;2022;2;611110;611110
518;2022;3;703565.5;703565.5
518;2022;4;662847.5;662847.5
518;2022;5;664228;664228
518;2022;6;647706;647706
518;2021;7;660355.5;660355.5
518;2021;8;820309.5;820309.5
518;2021;9;772675.5;772675.5
518;2021;10;755997;755997
518;2021;11;820423.5;820423.5
518;2021;12;833151.5;833151.5
519;2022;1;664521;664521
